dataset\signal1\SNR_-3_Signal1_59.mat,1
dataset\signal1\SNR_-15_Signal1_82.mat,1
dataset\signal0\SNR_-4_Signal0_87.mat,0
dataset\signal0\SNR_-20_Signal0_68.mat,0
dataset\signal1\SNR_3_Signal1_22.mat,1
dataset\signal0\SNR_-11_Signal0_13.mat,0
dataset\signal0\SNR_2_Signal0_79.mat,0
dataset\signal1\SNR_-14_Signal1_52.mat,1
dataset\signal1\SNR_-15_Signal1_26.mat,1
dataset\signal0\SNR_-15_Signal0_6.mat,0
dataset\signal1\SNR_-5_Signal1_77.mat,1
dataset\signal1\SNR_1_Signal1_13.mat,1
dataset\signal0\SNR_-8_Signal0_51.mat,0
dataset\signal0\SNR_-16_Signal0_74.mat,0
dataset\signal0\SNR_4_Signal0_33.mat,0
dataset\signal1\SNR_-3_Signal1_82.mat,1
dataset\signal0\SNR_-13_Signal0_40.mat,0
dataset\signal1\SNR_3_Signal1_11.mat,1
dataset\signal0\SNR_-9_Signal0_56.mat,0
dataset\signal1\SNR_-16_Signal1_75.mat,1
dataset\signal1\SNR_-20_Signal1_80.mat,1
dataset\signal1\SNR_-18_Signal1_73.mat,1
dataset\signal1\SNR_-10_Signal1_64.mat,1
dataset\signal0\SNR_-12_Signal0_77.mat,0
dataset\signal1\SNR_-9_Signal1_74.mat,1
dataset\signal1\SNR_0_Signal1_51.mat,1
dataset\signal0\SNR_0_Signal0_94.mat,0
dataset\signal1\SNR_-9_Signal1_93.mat,1
dataset\signal1\SNR_-18_Signal1_50.mat,1
dataset\signal0\SNR_3_Signal0_2.mat,0
dataset\signal1\SNR_-6_Signal1_62.mat,1
dataset\signal0\SNR_-6_Signal0_73.mat,0
dataset\signal0\SNR_3_Signal0_45.mat,0
dataset\signal0\SNR_1_Signal0_92.mat,0
dataset\signal0\SNR_-13_Signal0_68.mat,0
dataset\signal0\SNR_-5_Signal0_36.mat,0
dataset\signal1\SNR_-11_Signal1_88.mat,1
dataset\signal1\SNR_-20_Signal1_32.mat,1
dataset\signal0\SNR_-3_Signal0_20.mat,0
dataset\signal0\SNR_-15_Signal0_85.mat,0
dataset\signal1\SNR_-7_Signal1_96.mat,1
dataset\signal1\SNR_1_Signal1_56.mat,1
dataset\signal0\SNR_1_Signal0_96.mat,0
dataset\signal1\SNR_-17_Signal1_31.mat,1
dataset\signal0\SNR_2_Signal0_40.mat,0
dataset\signal1\SNR_2_Signal1_39.mat,1
dataset\signal0\SNR_-15_Signal0_39.mat,0
dataset\signal1\SNR_-4_Signal1_8.mat,1
dataset\signal0\SNR_3_Signal0_37.mat,0
dataset\signal1\SNR_-17_Signal1_63.mat,1
dataset\signal0\SNR_-16_Signal0_55.mat,0
dataset\signal1\SNR_-10_Signal1_94.mat,1
dataset\signal0\SNR_-10_Signal0_95.mat,0
dataset\signal1\SNR_4_Signal1_16.mat,1
dataset\signal1\SNR_3_Signal1_51.mat,1
dataset\signal1\SNR_1_Signal1_33.mat,1
dataset\signal0\SNR_-10_Signal0_77.mat,0
dataset\signal0\SNR_-5_Signal0_94.mat,0
dataset\signal1\SNR_-2_Signal1_94.mat,1
dataset\signal0\SNR_4_Signal0_5.mat,0
dataset\signal1\SNR_2_Signal1_67.mat,1
dataset\signal1\SNR_-5_Signal1_37.mat,1
dataset\signal0\SNR_5_Signal0_53.mat,0
dataset\signal0\SNR_-15_Signal0_77.mat,0
dataset\signal0\SNR_-15_Signal0_17.mat,0
dataset\signal0\SNR_-14_Signal0_86.mat,0
dataset\signal1\SNR_-11_Signal1_59.mat,1
dataset\signal0\SNR_-4_Signal0_82.mat,0
dataset\signal1\SNR_0_Signal1_71.mat,1
dataset\signal0\SNR_5_Signal0_79.mat,0
dataset\signal1\SNR_-15_Signal1_9.mat,1
dataset\signal1\SNR_-3_Signal1_30.mat,1
dataset\signal0\SNR_-20_Signal0_8.mat,0
dataset\signal1\SNR_5_Signal1_80.mat,1
dataset\signal1\SNR_-1_Signal1_82.mat,1
dataset\signal0\SNR_-9_Signal0_43.mat,0
dataset\signal0\SNR_-1_Signal0_70.mat,0
dataset\signal1\SNR_0_Signal1_21.mat,1
dataset\signal0\SNR_-13_Signal0_39.mat,0
dataset\signal0\SNR_-3_Signal0_46.mat,0
dataset\signal1\SNR_-16_Signal1_32.mat,1
dataset\signal0\SNR_-9_Signal0_19.mat,0
dataset\signal1\SNR_5_Signal1_43.mat,1
dataset\signal1\SNR_3_Signal1_21.mat,1
dataset\signal0\SNR_-3_Signal0_10.mat,0
dataset\signal1\SNR_-17_Signal1_2.mat,1
dataset\signal0\SNR_-9_Signal0_34.mat,0
dataset\signal1\SNR_-3_Signal1_3.mat,1
dataset\signal1\SNR_-4_Signal1_13.mat,1
dataset\signal0\SNR_-2_Signal0_50.mat,0
dataset\signal0\SNR_-7_Signal0_58.mat,0
dataset\signal1\SNR_3_Signal1_80.mat,1
dataset\signal1\SNR_-17_Signal1_64.mat,1
dataset\signal0\SNR_-4_Signal0_46.mat,0
dataset\signal0\SNR_1_Signal0_77.mat,0
dataset\signal1\SNR_-19_Signal1_79.mat,1
dataset\signal0\SNR_2_Signal0_58.mat,0
dataset\signal0\SNR_-12_Signal0_61.mat,0
dataset\signal0\SNR_-19_Signal0_3.mat,0
dataset\signal1\SNR_-16_Signal1_34.mat,1
dataset\signal0\SNR_-3_Signal0_69.mat,0
dataset\signal0\SNR_-20_Signal0_45.mat,0
dataset\signal0\SNR_1_Signal0_94.mat,0
dataset\signal1\SNR_-7_Signal1_75.mat,1
dataset\signal1\SNR_-7_Signal1_80.mat,1
dataset\signal1\SNR_-11_Signal1_25.mat,1
dataset\signal1\SNR_3_Signal1_2.mat,1
